SalesOrderID,OrderDate,DueDate,ShipDate,Name,SalesPersonID, SubTotal , TaxAmt , Freight , TotalDue ,BusinessEntityID
43659,5/31/2011,6/12/2011,6/7/2011,Better Bike Shop,279," $20,565.62 "," $1,971.51 ", $616.10 ," $23,153.23 ",1046
43660,5/31/2011,6/12/2011,6/7/2011,Pedals Warehouse,279," $1,294.25 ", $124.25 , $38.83 ," $1,457.33 ",722
43661,5/31/2011,6/12/2011,6/7/2011,Original Bicycle Supply Company,282," $32,726.48 "," $3,153.77 ", $985.55 ," $36,865.80 ",852
43662,5/31/2011,6/12/2011,6/7/2011,"Health Spa, Limited",282," $28,832.53 "," $2,775.16 ", $867.24 ," $32,474.93 ",1418
43663,5/31/2011,6/12/2011,6/7/2011,World Bike Discount Store,276, $419.46 , $40.27 , $12.58 , $472.31 ,484
43664,5/31/2011,6/12/2011,6/7/2011,Capable Sales and Service,280," $24,432.61 "," $2,344.99 ", $732.81 ," $27,510.41 ",1206
43665,5/31/2011,6/12/2011,6/7/2011,Latest Sports Equipment,283," $14,352.77 "," $1,375.94 ", $429.98 ," $16,158.70 ",518
43666,5/31/2011,6/12/2011,6/7/2011,Wheel Gallery,276," $5,056.49 ", $486.37 , $151.99 ," $5,694.86 ",1850
43667,5/31/2011,6/12/2011,6/7/2011,Yellow Bicycle Company,277," $6,107.08 ", $586.12 , $183.16 ," $6,876.36 ",1374
43668,5/31/2011,6/12/2011,6/7/2011,Retail Mall,282," $35,944.16 "," $3,461.77 "," $1,081.80 "," $40,487.72 ",592
43669,5/31/2011,6/12/2011,6/7/2011,The Bike Shop,283, $714.70 , $70.52 , $22.04 , $807.26 ,880
43670,5/31/2011,6/12/2011,6/7/2011,Historic Bicycle Sales,275," $6,122.08 ", $587.56 , $183.61 ," $6,893.25 ",488
43671,5/31/2011,6/12/2011,6/7/2011,Basic Bike Company,283," $8,128.79 ", $780.81 , $244.00 ," $9,153.61 ",1186
43672,5/31/2011,6/12/2011,6/7/2011,Red Bicycle Company,282," $6,124.18 ", $587.60 , $183.63 ," $6,895.41 ",1882
43673,5/31/2011,6/12/2011,6/7/2011,Seventh Bike Store,275," $3,746.20 ", $357.96 , $111.86 ," $4,216.03 ",1086
43674,5/31/2011,6/12/2011,6/7/2011,Requisite Part Supply,282," $2,624.38 ", $251.94 , $78.73 ," $2,955.05 ",552
43675,5/31/2011,6/12/2011,6/7/2011,First Bike Store,277," $5,716.31 ", $546.88 , $170.90 ," $6,434.08 ",1050
43676,5/31/2011,6/12/2011,6/7/2011,Trusted Catalog Store,275," $14,203.46 "," $1,363.27 ", $426.02 ," $15,992.74 ",1018
43677,5/31/2011,6/12/2011,6/7/2011,Superb Sales and Repair,278," $7,793.11 ", $747.10 , $233.47 ," $8,773.68 ",1044
43678,5/31/2011,6/12/2011,6/7/2011,Separate Parts Corporation,281," $9,799.92 ", $942.07 , $294.40 ," $11,036.40 ",1184
43679,5/31/2011,6/12/2011,6/7/2011,General Bike Corporation,278," $1,316.06 ", $125.80 , $39.31 ," $1,481.17 ",908
43680,5/31/2011,6/12/2011,6/7/2011,Area Bike Accessories,281," $11,397.50 "," $1,093.64 ", $341.76 ," $12,832.90 ",302
43681,5/31/2011,6/12/2011,6/7/2011,Bike Rims Company,279," $13,787.54 "," $1,323.07 ", $413.46 ," $15,524.07 ",698
43682,5/31/2011,6/12/2011,6/7/2011,Convenient Bike Shop,275," $3,875.72 ", $371.80 , $116.19 ," $4,363.71 ",904
43683,5/31/2011,6/12/2011,6/7/2011,Great Bikes ,283," $42,813.43 "," $4,107.15 "," $1,283.48 "," $48,204.07 ",318
43684,5/31/2011,6/12/2011,6/7/2011,Daring Rides,279," $5,596.47 ", $537.26 , $167.89 ," $6,301.63 ",1240
43685,5/31/2011,6/12/2011,6/7/2011,Simple Bike Parts,279," $2,736.57 ", $263.20 , $82.25 ," $3,082.02 ",1918
43686,5/31/2011,6/12/2011,6/7/2011,Fifth Bike Store,283," $3,463.30 ", $332.48 , $103.90 ," $3,899.68 ",574
43687,5/31/2011,6/12/2011,6/7/2011,Curbside Universe,275," $1,258.38 ", $120.80 , $37.75 ," $1,416.93 ",584
43688,5/31/2011,6/12/2011,6/7/2011,Weekend Tours,275," $12,718.08 "," $1,222.88 ", $382.15 ," $14,323.12 ",820
43689,5/31/2011,6/12/2011,6/7/2011,Fitness Toy Store,277," $33,997.37 "," $3,271.49 "," $1,022.34 "," $38,291.21 ",662
43690,5/31/2011,6/12/2011,6/7/2011,Small Cycle Store,275," $1,297.59 ", $124.20 , $38.81 ," $1,460.61 ",392
